timestamp,bid_1_price,bid_1_size,bid_2_price,bid_2_size,bid_3_price,bid_3_size,bid_4_price,bid_4_size,bid_5_price,bid_5_size,bid_6_price,bid_6_size,bid_7_price,bid_7_size,bid_8_price,bid_8_size,bid_9_price,bid_9_size,bid_10_price,bid_10_size,bid_11_price,bid_11_size,bid_12_price,bid_12_size,bid_13_price,bid_13_size,bid_14_price,bid_14_size,bid_15_price,bid_15_size,ask_1_price,ask_1_size,ask_2_price,ask_2_size,ask_3_price,ask_3_size,ask_4_price,ask_4_size,ask_5_price,ask_5_size,ask_6_price,ask_6_size,ask_7_price,ask_7_size,ask_8_price,ask_8_size,ask_9_price,ask_9_size,ask_10_price,ask_10_size,ask_11_price,ask_11_size,ask_12_price,ask_12_size,ask_13_price,ask_13_size,ask_14_price,ask_14_size,ask_15_price,ask_15_size
1757800369.2722602,239.77,584.2,239.82,521.6,239.76,564.5,239.83,600.1,239.75,473.2,239.84,530.2,239.74,611.7,239.85,538.7,239.73,639.0,239.86,544.9,239.72,520.9,239.87,631.8,239.71,415.7,239.88,435.6,239.70,544.8,239.89,508.4,239.69,664.7,239.90,644.6,239.68,388.3,239.91,472.0,239.67,510.6,239.92,596.6,239.66,542.9,239.93,498.8,239.65,382.7,239.94,389.2,239.64,444.7,239.95,560.5,239.63,476.7,239.96,678.9
1757800370.8618023,239.77,584.2,239.82,468.7,239.76,564.5,239.83,467.3,239.75,473.2,239.84,633.0,239.74,611.7,239.85,670.0,239.73,639.0,239.86,546.2,239.72,520.9,239.87,648.7,239.71,415.7,239.88,429.8,239.70,544.8,239.89,577.5,239.69,664.7,239.90,571.1,239.68,388.3,239.91,481.3,239.67,510.6,239.92,683.5,239.66,542.9,239.93,462.8,239.65,382.7,239.94,428.6,239.64,444.7,239.95,515.0,239.63,476.7,239.96,637.7
1757800370.95963,239.77,545.4,239.82,468.7,239.76,438.6,239.83,467.3,239.75,587.4,239.84,633.0,239.74,417.1,239.85,670.0,239.73,432.2,239.86,546.2,239.72,651.4,239.87,648.7,239.71,595.5,239.88,429.8,239.70,426.6,239.89,577.5,239.69,674.8,239.90,571.1,239.68,593.6,239.91,481.3,239.67,406.1,239.92,683.5,239.66,608.8,239.93,462.8,239.65,423.7,239.94,428.6,239.64,565.7,239.95,515.0,239.63,381.0,239.96,637.7
1757800373.1612582,239.77,545.4,239.86,499.7,239.76,438.6,239.87,479.0,239.75,587.4,239.88,460.0,239.74,417.1,239.89,518.2,239.73,432.2,239.90,686.7,239.72,651.4,239.91,449.7,239.71,595.5,239.92,397.0,239.70,426.6,239.93,395.8,239.69,674.8,239.94,475.0,239.68,593.6,239.95,383.7,239.67,406.1,239.96,445.6,239.66,608.8,239.97,697.7,239.65,423.7,239.98,479.2,239.64,565.7,239.99,401.3,239.63,381.0,240.00,581.8
1757800373.2645955,239.81,423.5,239.86,499.7,239.80,426.9,239.87,479.0,239.79,530.5,239.88,460.0,239.78,550.6,239.89,518.2,239.77,622.2,239.90,686.7,239.76,602.0,239.91,449.7,239.75,401.4,239.92,397.0,239.74,659.2,239.93,395.8,239.73,688.4,239.94,475.0,239.72,476.5,239.95,383.7,239.71,403.6,239.96,445.6,239.70,473.7,239.97,697.7,239.69,692.1,239.98,479.2,239.68,676.0,239.99,401.3,239.67,525.8,240.00,581.8
1757800375.3611715,239.81,423.5,239.87,602.0,239.80,426.9,239.88,473.3,239.79,530.5,239.89,529.3,239.78,550.6,239.90,617.9,239.77,622.2,239.91,623.9,239.76,602.0,239.92,590.9,239.75,401.4,239.93,449.2,239.74,659.2,239.94,416.9,239.73,688.4,239.95,408.6,239.72,476.5,239.96,543.3,239.71,403.6,239.97,677.2,239.70,473.7,239.98,680.7,239.69,692.1,239.99,562.7,239.68,676.0,240.00,515.1,239.67,525.8,240.01,624.6
1757800375.4667368,239.82,500.6,239.87,602.0,239.81,436.8,239.88,473.3,239.80,630.4,239.89,529.3,239.79,654.0,239.90,617.9,239.78,637.2,239.91,623.9,239.77,407.1,239.92,590.9,239.76,598.2,239.93,449.2,239.75,671.4,239.94,416.9,239.74,482.6,239.95,408.6,239.73,604.7,239.96,543.3,239.72,551.5,239.97,677.2,239.71,672.3,239.98,680.7,239.70,623.4,239.99,562.7,239.69,519.5,240.00,515.1,239.68,505.2,240.01,624.6
1757800377.5603223,239.82,500.6,239.87,602.0,239.81,436.8,239.88,473.3,239.80,630.4,239.89,529.3,239.79,654.0,239.90,1101.0,239.78,637.2,239.91,623.9,239.77,407.1,239.92,590.9,239.76,598.2,239.93,449.2,239.75,671.4,239.94,416.9,239.74,482.6,239.95,408.6,239.73,604.7,239.96,543.3,239.72,551.5,239.97,1277.8,239.71,672.3,239.98,680.7,239.70,623.4,239.99,562.7,239.69,519.5,240.00,515.1,239.68,505.2,240.01,624.6
1757800377.6602554,239.82,500.6,239.87,549.0,239.81,436.8,239.88,446.9,239.80,630.4,239.89,654.5,239.79,654.0,239.90,483.1,239.78,637.2,239.91,564.1,239.77,407.1,239.92,474.1,239.76,598.2,239.93,448.0,239.75,671.4,239.94,429.5,239.74,482.6,239.95,623.6,239.73,604.7,239.96,636.8,239.72,551.5,239.97,600.6,239.71,672.3,239.98,700.6,239.70,623.4,239.99,552.3,239.69,519.5,240.00,492.1,239.68,505.2,240.01,406.5
1757800377.7607372,239.82,678.4,239.87,549.0,239.81,566.0,239.88,446.9,239.80,492.4,239.89,654.5,239.79,679.1,239.90,483.1,239.78,520.9,239.91,564.1,239.77,649.9,239.92,474.1,239.76,484.4,239.93,448.0,239.75,659.5,239.94,429.5,239.74,447.4,239.95,623.6,239.73,577.6,239.96,636.8,239.72,518.8,239.97,600.6,239.71,674.6,239.98,700.6,239.70,552.5,239.99,552.3,239.69,605.0,240.00,492.1,239.68,564.4,240.01,406.5
