timestamp,bid_1_price,bid_1_size,bid_2_price,bid_2_size,bid_3_price,bid_3_size,bid_4_price,bid_4_size,bid_5_price,bid_5_size,bid_6_price,bid_6_size,bid_7_price,bid_7_size,bid_8_price,bid_8_size,bid_9_price,bid_9_size,bid_10_price,bid_10_size,bid_11_price,bid_11_size,bid_12_price,bid_12_size,bid_13_price,bid_13_size,bid_14_price,bid_14_size,bid_15_price,bid_15_size,ask_1_price,ask_1_size,ask_2_price,ask_2_size,ask_3_price,ask_3_size,ask_4_price,ask_4_size,ask_5_price,ask_5_size,ask_6_price,ask_6_size,ask_7_price,ask_7_size,ask_8_price,ask_8_size,ask_9_price,ask_9_size,ask_10_price,ask_10_size,ask_11_price,ask_11_size,ask_12_price,ask_12_size,ask_13_price,ask_13_size,ask_14_price,ask_14_size,ask_15_price,ask_15_size
1757800369.2722602,115798.8,2.140,115801.2,11.265,115797.0,0.072,115802.9,0.072,115796.4,1.310,115803.5,1.250,115795.4,0.001,115804.9,0.050,115794.8,4.780,115805.0,5.733,115792.6,0.072,115807.1,0.072,115790.8,6.109,115808.8,4.695,115788.9,0.306,115810.6,3.767,115787.1,1.501,115811.3,0.005,115786.6,0.002,115811.6,0.020,115785.3,1.152,115812.3,4.518,115783.5,0.072,115812.6,0.020,115781.5,2.965,115814.0,2.557,115780.8,0.002,115815.7,0.072,115779.7,4.260,115817.6,6.928
1757800370.3631904,115798.8,2.140,115801.2,3.850,115797.0,0.072,115802.9,2.888,115796.4,1.310,115803.5,1.250,115795.4,0.001,115804.7,2.068,115794.8,4.780,115804.9,0.050,115792.6,0.072,115806.7,6.095,115790.8,6.109,115808.8,7.117,115788.9,0.306,115810.6,0.056,115787.1,1.501,115811.3,0.005,115786.6,0.002,115811.6,0.020,115785.3,1.152,115812.3,0.020,115783.5,0.072,115812.6,0.020,115781.5,2.965,115812.7,0.056,115780.8,0.002,115814.8,0.056,115779.7,4.260,115816.6,5.583
1757800370.66255,115798.8,5.845,115801.2,3.850,115797.0,2.474,115802.9,2.888,115796.4,1.310,115803.5,1.250,115795.4,0.001,115804.7,2.068,115795.1,3.212,115804.9,0.050,115793.0,1.488,115806.7,6.095,115790.8,4.693,115808.8,7.117,115788.9,0.056,115810.6,0.056,115786.7,0.056,115811.3,0.005,115786.6,0.002,115811.6,0.020,115784.5,0.056,115812.3,0.020,115782.6,6.704,115812.6,0.020,115780.8,0.002,115812.7,0.056,115780.6,6.180,115814.8,0.056,115778.5,0.876,115816.6,5.583
1757800371.8636124,115798.8,5.845,115801.2,3.850,115797.0,2.474,115802.9,2.888,115796.4,1.310,115803.5,1.250,115795.4,0.001,115804.7,2.068,115795.1,3.212,115804.9,0.050,115793.0,1.488,115806.7,6.095,115790.8,4.693,115808.8,7.117,115788.9,0.056,115809.7,0.004,115786.7,0.056,115810.6,0.056,115786.6,0.002,115811.3,0.005,115784.5,0.056,115811.6,0.020,115782.6,6.704,115812.3,0.020,115780.6,6.180,115812.6,0.020,115778.5,0.876,115812.7,0.056,115777.2,0.002,115814.8,0.056
1757800372.5615315,115798.8,5.845,115801.2,3.850,115797.0,2.474,115802.9,2.888,115796.4,1.310,115803.5,1.250,115795.4,0.001,115804.7,2.068,115795.1,3.212,115804.9,0.050,115793.0,1.488,115806.7,6.095,115790.8,4.693,115808.7,0.004,115788.9,0.056,115808.8,7.117,115786.7,0.056,115809.7,0.004,115786.6,0.002,115810.6,0.056,115784.5,0.056,115811.3,0.005,115782.6,6.704,115811.6,0.020,115780.6,6.180,115812.3,0.020,115778.5,0.876,115812.6,0.020,115777.2,0.002,115812.7,0.056
1757800372.861942,115798.8,5.845,115801.2,4.138,115797.0,2.474,115802.9,0.040,115796.4,1.310,115803.5,1.250,115795.4,0.001,115804.9,0.090,115795.1,3.212,115806.9,1.076,115793.0,1.488,115808.6,2.258,115790.8,4.693,115808.7,0.004,115788.9,0.056,115809.7,0.004,115786.7,0.056,115810.7,2.496,115786.6,0.002,115811.3,0.005,115784.5,0.056,115811.6,0.020,115782.6,6.704,115812.3,0.020,115780.6,6.180,115812.6,0.020,115778.5,0.876,115812.7,2.806,115777.2,0.002,115814.5,7.867
1757800372.9623055,115798.8,4.356,115801.2,4.138,115797.0,0.040,115802.9,0.040,115796.4,1.310,115803.5,1.250,115795.4,0.001,115804.9,0.090,115794.9,0.040,115806.9,1.076,115792.8,1.200,115808.6,2.258,115791.0,2.865,115808.7,0.004,115788.8,4.059,115809.7,0.004,115786.7,3.453,115810.7,2.496,115786.6,0.002,115811.3,0.005,115784.8,0.621,115811.6,0.020,115783.0,5.328,115812.3,0.020,115781.1,0.040,115812.6,0.020,115778.9,3.085,115812.7,2.806,115777.2,0.002,115814.5,7.867
1757800373.7626722,115798.8,4.356,115801.2,4.138,115797.0,0.040,115802.9,0.040,115796.4,1.310,115803.5,1.250,115795.4,0.001,115804.9,0.090,115794.9,0.040,115806.9,1.076,115792.8,1.200,115808.6,2.258,115791.0,2.865,115808.7,0.006,115788.8,4.059,115809.7,0.004,115786.7,3.453,115810.7,2.496,115786.6,0.002,115811.3,0.005,115784.8,0.621,115811.6,0.020,115783.0,5.328,115812.3,0.020,115781.1,0.040,115812.6,0.020,115778.9,3.085,115812.7,2.806,115777.2,0.002,115814.5,7.867
1757800375.1613793,115798.8,4.356,115801.2,3.363,115797.0,0.040,115802.9,3.421,115796.4,1.310,115803.5,1.250,115795.4,0.001,115804.9,0.050,115794.9,0.040,115805.0,0.072,115792.8,1.200,115807.1,3.113,115791.0,2.865,115808.7,0.006,115788.8,4.059,115809.2,4.699,115786.7,3.453,115809.7,0.004,115786.6,0.002,115811.1,0.809,115784.8,0.621,115811.3,0.005,115783.0,5.328,115811.6,0.020,115781.1,0.040,115812.3,0.020,115778.9,3.085,115812.6,0.020,115777.2,0.002,115813.1,0.072
1757800375.2786372,115798.8,2.132,115801.2,3.363,115797.0,7.617,115802.9,3.421,115796.4,1.310,115803.5,1.250,115795.4,0.001,115804.9,0.050,115794.8,0.072,115805.0,0.072,115792.6,2.015,115807.1,3.113,115790.4,6.440,115808.7,0.006,115788.4,1.179,115809.2,4.699,115786.6,0.002,115809.7,0.004,115786.3,0.072,115811.1,0.809,115784.2,3.415,115811.3,0.005,115782.0,3.023,115811.6,0.020,115779.8,0.072,115812.3,0.020,115777.7,4.633,115813.1,0.072,115777.2,0.002,115815.1,4.677
