timestamp,bid_1_price,bid_1_size,bid_2_price,bid_2_size,bid_3_price,bid_3_size,bid_4_price,bid_4_size,bid_5_price,bid_5_size,bid_6_price,bid_6_size,bid_7_price,bid_7_size,bid_8_price,bid_8_size,bid_9_price,bid_9_size,bid_10_price,bid_10_size,bid_11_price,bid_11_size,bid_12_price,bid_12_size,bid_13_price,bid_13_size,bid_14_price,bid_14_size,bid_15_price,bid_15_size,ask_1_price,ask_1_size,ask_2_price,ask_2_size,ask_3_price,ask_3_size,ask_4_price,ask_4_size,ask_5_price,ask_5_size,ask_6_price,ask_6_size,ask_7_price,ask_7_size,ask_8_price,ask_8_size,ask_9_price,ask_9_size,ask_10_price,ask_10_size,ask_11_price,ask_11_size,ask_12_price,ask_12_size,ask_13_price,ask_13_size,ask_14_price,ask_14_size,ask_15_price,ask_15_size
1757800373.6619475,4657.53,0.40,4657.54,0.14,4657.48,24.63,4657.56,35.58,4657.38,24.01,4657.64,0.94,4657.25,35.05,4657.65,23.20,4657.13,34.55,4657.77,24.52,4657.03,32.25,4657.84,0.20,4656.92,34.97,4657.88,25.10,4656.82,32.47,4657.97,21.27,4656.70,29.49,4658.07,31.36,4656.60,16.51,4658.16,27.39,4656.59,20.21,4658.27,21.47,4656.49,25.12,4658.37,26.83,4656.47,2.04,4658.46,25.36,4656.39,20.63,4658.48,0.74,4656.26,34.20,4658.51,0.06
1757800374.261967,4657.54,30.77,4657.64,0.94,4657.53,0.40,4657.65,23.20,4657.48,24.63,4657.77,24.52,4657.38,24.01,4657.84,0.20,4657.25,35.05,4657.88,25.10,4657.13,34.55,4657.97,21.27,4657.03,32.25,4658.07,31.36,4656.92,34.97,4658.16,27.39,4656.82,32.47,4658.27,21.47,4656.70,29.49,4658.37,26.83,4656.60,16.51,4658.46,25.36,4656.59,20.21,4658.48,0.74,4656.49,25.12,4658.51,0.06,4656.47,2.04,4658.54,0.02,4656.39,20.63,4658.55,35.39
1757800374.3604858,4657.56,29.71,4657.64,23.21,4657.54,30.77,4657.65,23.20,4657.53,0.40,4657.77,24.52,4657.48,24.63,4657.84,0.20,4657.38,24.01,4657.88,25.10,4657.25,35.05,4657.97,21.27,4657.13,34.55,4658.07,31.36,4657.03,32.25,4658.16,27.39,4656.92,34.97,4658.27,21.47,4656.82,32.47,4658.37,26.83,4656.70,29.49,4658.46,25.36,4656.60,16.51,4658.48,0.74,4656.59,20.21,4658.51,0.06,4656.49,25.12,4658.54,0.02,4656.47,2.04,4658.55,35.39
1757800374.4836633,4657.56,29.71,4657.64,0.94,4657.54,30.77,4657.84,0.20,4657.53,0.40,4657.88,25.10,4657.48,24.63,4657.97,21.27,4657.38,24.01,4658.07,31.36,4657.25,35.05,4658.16,27.39,4657.13,34.55,4658.27,21.47,4657.03,32.25,4658.37,26.83,4656.92,34.97,4658.46,25.36,4656.82,32.47,4658.48,0.74,4656.70,29.49,4658.51,0.06,4656.60,16.51,4658.54,0.02,4656.59,20.21,4658.55,35.39,4656.49,25.12,4658.56,0.04,4656.47,2.04,4658.61,0.27
1757800374.6622624,4657.72,30.68,4657.84,0.20,4657.62,26.97,4657.88,25.10,4657.56,29.71,4657.97,21.27,4657.54,30.77,4658.07,31.36,4657.53,0.40,4658.16,27.39,4657.48,24.63,4658.27,21.47,4657.38,24.01,4658.37,26.83,4657.25,35.05,4658.46,25.36,4657.13,34.55,4658.48,0.74,4657.03,32.25,4658.51,0.06,4656.92,34.97,4658.54,0.02,4656.82,32.47,4658.55,35.39,4656.70,29.49,4658.56,0.04,4656.60,16.51,4658.61,0.27,4656.59,20.21,4658.67,21.85
1757800374.9611819,4657.80,19.85,4657.84,0.20,4657.72,30.68,4657.88,25.10,4657.62,26.97,4657.97,21.27,4657.56,29.71,4658.07,31.36,4657.54,30.77,4658.16,27.39,4657.53,0.40,4658.27,21.47,4657.48,24.63,4658.37,26.83,4657.38,24.01,4658.46,25.36,4657.25,35.05,4658.48,0.74,4657.13,34.55,4658.51,0.06,4657.03,32.25,4658.54,0.02,4656.92,34.97,4658.55,35.39,4656.82,32.47,4658.56,0.04,4656.70,29.49,4658.61,0.27,4656.60,16.51,4658.67,21.85
1757800375.5600915,4657.80,19.85,4657.84,0.20,4657.72,30.68,4657.88,25.10,4657.63,0.12,4657.97,21.27,4657.62,26.97,4658.07,31.36,4657.56,29.71,4658.16,27.39,4657.54,30.77,4658.27,21.47,4657.53,0.40,4658.37,26.83,4657.48,24.63,4658.46,25.36,4657.38,24.01,4658.48,0.74,4657.25,35.05,4658.51,0.06,4657.13,34.55,4658.54,0.02,4657.03,32.25,4658.55,35.39,4656.92,34.97,4658.56,0.04,4656.82,32.47,4658.61,0.27,4656.70,29.49,4658.67,21.85
1757800375.9641025,4657.83,0.94,4657.84,0.20,4657.80,19.85,4657.88,25.10,4657.72,30.68,4657.97,21.27,4657.63,0.12,4658.07,31.36,4657.62,26.97,4658.16,27.39,4657.56,29.71,4658.27,21.47,4657.54,30.77,4658.37,26.83,4657.53,0.40,4658.46,25.36,4657.48,24.63,4658.48,0.74,4657.38,24.01,4658.51,0.06,4657.25,35.05,4658.54,0.02,4657.13,34.55,4658.55,35.39,4657.03,32.25,4658.56,0.04,4656.92,34.97,4658.61,0.27,4656.82,32.47,4658.67,21.85
1757800376.2616417,4657.83,0.96,4657.84,0.20,4657.80,19.85,4657.88,25.10,4657.72,30.68,4657.97,21.27,4657.63,0.12,4658.07,31.36,4657.62,26.97,4658.16,27.39,4657.56,29.71,4658.27,21.47,4657.54,30.77,4658.37,26.83,4657.53,0.40,4658.46,25.36,4657.48,24.63,4658.48,0.74,4657.38,24.01,4658.51,0.06,4657.25,35.05,4658.54,0.02,4657.13,34.55,4658.55,35.39,4657.03,32.25,4658.56,0.04,4656.92,34.97,4658.61,0.27,4656.82,32.47,4658.67,21.85
1757800377.2611048,4657.83,0.96,4657.84,0.20,4657.80,19.85,4657.88,27.22,4657.72,30.68,4657.97,35.82,4657.63,0.12,4658.07,30.44,4657.62,26.97,4658.20,35.08,4657.56,29.71,4658.31,24.51,4657.54,30.77,4658.40,35.98,4657.53,0.40,4658.48,0.74,4657.48,24.63,4658.50,22.91,4657.38,24.01,4658.51,0.06,4657.25,35.05,4658.54,0.02,4657.13,34.55,4658.56,0.04,4657.03,32.25,4658.61,0.27,4656.92,34.97,4658.62,27.47,4656.82,32.47,4658.71,30.30
