timestamp,contract_id,price,size,side,ticketId,exchange_timestamp
1757800369.2702596,10000001,115800.1,0.037,sell,cb5b2594-ee16-4d55-b5ae-66db31383243,1757800366582
1757800369.2702596,10000001,115802.9,0.944,buy,da1fa965-56c0-4454-892b-8d98b4f8a80d,1757800361396
1757800369.2702596,10000001,115801.2,0.056,buy,ea69cf37-1e24-48ab-9059-2cb9253126d8,1757800361396
1757800369.2702596,10000001,115798.8,0.036,sell,008043bf-0e2c-4884-9323-4adb6d3b6134,1757800361107
1757800369.2702596,10000001,115798.8,0.005,sell,e13d194f-e53e-414c-94dc-4c41c0e6e754,1757800361107
1757800369.2702596,10000001,115798.8,0.216,sell,50675d2a-e647-4b22-a8bd-53218275cbe5,1757800355679
1757800369.2702596,10000001,115800.5,0.028,sell,4753adcc-29a4-4050-8a14-8badfc9c4b91,1757800353589
1757800369.2702596,10000001,115801.2,0.216,buy,bf09d028-ad61-4066-b0ca-739504cdc674,1757800347869
1757800369.2702596,10000001,115799.6,0.046,sell,ec26261b-b64e-4e45-b595-ac5eb40316f5,1757800347616
1757800369.2702596,10000001,115800.3,0.034,buy,6eff9b0b-e0f8-41d7-b277-a396c943d933,1757800340591
1757800369.2702596,10000001,115801.2,0.019,buy,474c86b8-0b96-4b1d-9559-c807e05d8adb,1757800331611
1757800369.2702596,10000001,115801.2,0.001,buy,a23645d5-eb4e-4c95-9f13-619eaa58640a,1757800331611
1757800369.2702596,10000001,115801.1,0.02,sell,489c6edc-1a98-4510-9925-d98f59324a68,1757800327635
1757800369.2702596,10000001,115800.0,0.044,buy,5df4b44e-aea6-4c52-9814-1433e7393c36,1757800319618
1757800369.2702596,10000001,115799.6,0.033,sell,159ac910-8576-4156-a3a5-ef50d27ff23b,1757800311597
1757800369.2702596,10000001,115798.8,0.054,sell,8a057ec1-0d87-4d21-8ea7-d065c1664abd,1757800307882
1757800369.2702596,10000001,115800.0,0.005,sell,09f08f5d-af4e-465b-86f0-186b762d626a,1757800307882
1757800369.2702596,10000001,115800.0,0.037,sell,8092de29-4022-4d9a-b0a8-99963b479fa2,1757800307882
1757800369.2702596,10000001,115800.0,0.05,sell,40ba18d4-78ad-4378-9ba7-6678e0fb1d54,1757800307882
1757800369.2702596,10000001,115800.8,0.044,sell,ed82dd19-9f16-4342-9214-362fcdea781d,1757800305587
1757800369.2702596,10000001,115800.4,0.029,sell,63b694a2-7767-4715-af81-f604f7539653,1757800300577
1757800369.2702596,10000001,115800.5,0.046,buy,a9f1ff22-d173-4912-a5cd-710a0dcce1c1,1757800293581
1757800369.2702596,10000001,115801.2,0.003,buy,45ec8086-f85d-4837-9261-54aa476fab5b,1757800287453
1757800369.2702596,10000001,115800.7,0.042,sell,3cfb2f26-1d44-459b-8898-1d1cf707c057,1757800285571
1757800369.2702596,10000001,115800.7,0.038,buy,c33ddb66-6a81-4b2e-bca7-3f0e04c1b370,1757800278651
1757800369.2702596,10000001,115800.9,0.031,buy,2324f240-a0c0-4def-b95f-52024286e90c,1757800270574
